2022-01-25 11:27:38.226 [XNIO-1 task-1] WARN  traceId[ab443610-81d1-48ec-a7af-d1878b42ebb1] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 2143456
2022-01-25 11:29:25.256 [XNIO-1 task-1] WARN  traceId[d0eeb6d4-d555-4704-a543-75f33ff21da2] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 107009
2022-01-25 11:30:51.788 [XNIO-1 task-1] WARN  traceId[a032329d-0e62-4218-97a4-3ea26a877d98] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 86512
2022-01-25 11:32:35.011 [XNIO-1 task-1] WARN  traceId[975dc580-c517-407d-942c-88bda0e55c5f] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 103204
2022-01-25 11:41:18.530 [XNIO-1 task-1] WARN  traceId[294c0a01-2a67-4b35-95aa-aa10ab8a44af] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 523500
2022-01-25 11:43:55.475 [XNIO-1 task-1] WARN  traceId[e776af4e-6e3d-433d-b88c-f8c83f3cc0f1] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 156925
2022-01-25 11:45:10.888 [XNIO-1 task-1] WARN  traceId[fa8f4858-24c0-4158-9c53-ea81c0137f4f] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 75394
2022-01-25 11:47:37.651 [XNIO-1 task-1] WARN  traceId[4d51a59a-f806-400f-9c91-c5cd48e94fab] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 97305
2022-01-25 11:50:37.339 [XNIO-1 task-1] WARN  traceId[0f87f91c-2681-46cf-8fdf-a8320313d216] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 179669
2022-01-25 11:53:04.798 [XNIO-1 task-1] WARN  traceId[17bad0f2-3aaa-48de-a7c5-2a2f0b842d03] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 102324
2022-01-25 16:21:56.004 [XNIO-1 task-1] WARN  traceId[3cbbb14a-36ff-43be-b1a4-efe8fda35145] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 16131187
2022-01-25 16:30:06.756 [XNIO-1 task-1] WARN  traceId[6fc0d34e-fe54-4ab4-bd8e-25e8b5f6188f] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 490723
2022-01-25 16:31:38.840 [XNIO-1 task-1] WARN  traceId[27bac1d7-48ba-4a7d-aa50-fbee4bafb9c1] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 92063
