2022-02-08 15:01:31.472 [main] WARN  traceId[] io.undertow.websockets.jsr:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2022-02-08 15:05:24.157 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231522
2022-02-08 15:05:24.158 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231540
2022-02-08 15:05:24.159 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231553
2022-02-08 15:05:24.160 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231567
2022-02-08 15:05:24.160 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231582
2022-02-08 15:05:24.161 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231595
2022-02-08 15:05:24.162 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231609
2022-02-08 15:05:24.163 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231623
2022-02-08 15:05:24.163 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231637
2022-02-08 15:05:24.164 [XNIO-1 task-1] WARN  traceId[9ab0f3b9-1929-41d6-a4c7-c3a89b6b1e19] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231655
2022-02-08 15:08:13.556 [XNIO-1 task-1] WARN  traceId[6aa2d28b-7308-430f-9260-c99ffbef5421] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 169357
