2022-02-09 09:22:40.279 [XNIO-1 task-1] WARN  traceId[b52254b4-7663-4d7e-a22b-c8b3c649bd1a] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 232464
2022-02-09 09:26:23.447 [XNIO-1 task-1] WARN  traceId[79bd5b7d-01c1-4d76-a73b-d0d6eeef5929] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 223142
2022-02-09 09:27:53.526 [XNIO-1 task-1] WARN  traceId[930a2363-2742-4ad8-adb4-15648cb9e989] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 90057
2022-02-09 09:31:12.178 [XNIO-1 task-1] WARN  traceId[4612d90c-3224-41cf-9be5-d596e80621cb] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 198624
2022-02-09 09:36:23.101 [XNIO-1 task-1] WARN  traceId[13f347e5-c1d7-45c4-811d-530a8df3ec45] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 310900
2022-02-09 09:38:02.885 [XNIO-1 task-1] WARN  traceId[45371f4d-7896-4de5-baf2-38ec11c87712] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 99762
2022-02-09 10:27:07.365 [XNIO-1 task-1] WARN  traceId[7cf7b69e-1550-4e97-91ab-b05ddc333369] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 2944458
2022-02-09 10:29:33.079 [XNIO-1 task-1] WARN  traceId[f1732b6e-2303-40ef-97b3-31d57920797c] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 145686
2022-02-09 10:33:39.399 [XNIO-1 task-1] WARN  traceId[f20252d9-9c9f-44a4-a5e5-42ca1f1b8177] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 246298
2022-02-09 10:35:44.885 [XNIO-1 task-1] WARN  traceId[460b2ec2-2ef9-4838-897d-979ac94d5159] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 125465
2022-02-09 10:37:43.797 [XNIO-1 task-1] WARN  traceId[2ff81e11-8d31-4d06-ac29-a0f8e85c8f11] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 118890
2022-02-09 10:39:32.191 [XNIO-1 task-1] WARN  traceId[8221c3fa-6ca5-4a73-b4fe-222093b5d2a7] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 108373
2022-02-09 10:43:34.951 [XNIO-1 task-1] WARN  traceId[a4d26b3b-a825-4e7f-b4aa-2e4680293cd8] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 242741
2022-02-09 10:46:14.563 [XNIO-1 task-1] WARN  traceId[eee62c15-9bc7-4f1b-ad02-a619aa516128] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 159588
