2022-02-10 15:00:14.179 [XNIO-1 task-1] WARN  traceId[b4dbced0-b409-4349-a05d-5952208dfbde] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 199914
2022-02-10 15:02:28.220 [XNIO-1 task-1] WARN  traceId[0328842e-60ee-45b4-b5a3-e672358668f6] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 134017
2022-02-10 15:05:27.703 [XNIO-1 task-1] WARN  traceId[47b9b59b-9f57-4811-afd6-9de0922e2909] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 179461
2022-02-10 15:07:00.199 [XNIO-1 task-1] WARN  traceId[f96cfc2e-1730-470d-8900-7028a19f4872] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 92472
2022-02-10 15:08:44.704 [XNIO-1 task-1] WARN  traceId[b52c1910-6939-448a-9927-48a6b7c8f778] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 66041
2022-02-10 15:20:41.757 [XNIO-1 task-1] WARN  traceId[06b3790e-b391-4a52-8952-6918df4773c6] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 717032
2022-02-10 15:22:16.572 [XNIO-1 task-1] WARN  traceId[2b8bcd93-8572-421c-bc37-9215b0331b4c] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 94786
2022-02-10 15:26:07.925 [XNIO-1 task-1] WARN  traceId[9a32cb03-c9c3-42ba-95c9-6f18171a6563] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 231325
2022-02-10 17:16:00.751 [XNIO-1 task-1] WARN  traceId[af61512f-9694-4954-a432-324eca32d765] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 6592797
2022-02-10 17:17:28.157 [XNIO-1 task-1] WARN  traceId[6daa1d63-cdc4-4d21-9f72-c296393de8f9] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 87366
2022-02-10 17:26:01.980 [XNIO-1 task-1] WARN  traceId[6533a938-497b-4feb-931f-3a69b7558eb6] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 513797
