2022-02-11 10:18:08.031 [XNIO-1 task-1] INFO  traceId[10ab6323-1a41-42fe-89a9-1f0d1793708f] com.example.demo.controller.TopicManageController:33 - 提交题目信息：{"createBy":"0","errorNum":1,"img":"","optionItem":[{"correct":false,"option":"决策支持","serialNumber":1},{"correct":true,"option":"在线事务处理","serialNumber":2},{"correct":false,"option":"企业信息服务","serialNumber":3},{"correct":false,"option":"联机分析处理","serialNumber":4}],"queSetId":2,"remark":"【答案】：B。 事务处理性能委员会(Transaction Processing Performance Council,TPC)是制定商务应用基准程序(Benchmark)标准规范、性能和价格度量，并管理测试结果发布的非营利组织，其发布的 TPC-C 是在线事务处理的基准程序，TPC-D 是决策支持的基准程序","topicDesc":"事务处理性台昱委员会(Transaction ProcessingPerformance Council, TPC)是制定商务应用基准程序(benchmark)标准规范、性能和价格度量，并管理测试结果发布的非营利组织，其发布的 TPC-C 是( )的基准程序。","topicType":1,"updateB":"0"}
2022-02-11 10:18:08.101 [XNIO-1 task-1] INFO  traceId[10ab6323-1a41-42fe-89a9-1f0d1793708f] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-02-11 10:18:27.203 [main] INFO  traceId[] com.example.demo.DemoApplicationTests:55 - Starting DemoApplicationTests on DESKTOP-6OUD5PV with PID 31896 (started by Administrator in E:\workplace\idea\demo)
2022-02-11 10:18:27.204 [main] INFO  traceId[] com.example.demo.DemoApplicationTests:651 - No active profile set, falling back to default profiles: default
2022-02-11 10:18:28.279 [main] INFO  traceId[] o.s.d.r.config.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-11 10:18:28.281 [main] INFO  traceId[] o.s.d.r.config.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-11 10:18:28.335 [main] INFO  traceId[] o.s.d.r.config.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 42ms. Found 0 Redis repository interfaces.
2022-02-11 10:18:28.706 [main] INFO  traceId[] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335 - Bean 'threadPoolConfig' of type [com.example.demo.config.ThreadPoolConfig$$EnhancerBySpringCGLIB$$c6aa3dac] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-11 10:18:28.761 [main] INFO  traceId[] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335 - Bean 'org.springframework.retry.annotation.RetryConfiguration' of type [org.springframework.retry.annotation.RetryConfiguration$$EnhancerBySpringCGLIB$$92c6dc72] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-11 10:18:29.004 [main] INFO  traceId[] c.example.demo.config.ThreadPoolExecutorMdcWrapper:181 - Initializing ExecutorService 'threadPoolTaskExecutor'
2022-02-11 10:18:29.198 [main] INFO  traceId[] c.a.d.s.b.a.DruidDataSourceAutoConfigure:56 - Init DruidDataSource
2022-02-11 10:18:30.791 [main] INFO  traceId[] com.alibaba.druid.pool.DruidDataSource:990 - {dataSource-1} inited
2022-02-11 10:18:33.507 [main] INFO  traceId[] o.s.scheduling.concurrent.ThreadPoolTaskScheduler:181 - Initializing ExecutorService 'taskScheduler'
2022-02-11 10:18:33.556 [main] INFO  traceId[] com.example.demo.DemoApplicationTests:61 - Started DemoApplicationTests in 6.79 seconds (JVM running for 7.856)
2022-02-11 10:18:34.015 [main] INFO  traceId[] com.example.demo.pdf.PdfProblem:65 - 开始生成pdf....
2022-02-11 10:18:34.412 [main] INFO  traceId[] com.example.demo.pdf.PdfProblem:98 - 结束生成pdf....
2022-02-11 10:18:34.451 [SpringContextShutdownHook] INFO  traceId[] o.s.scheduling.concurrent.ThreadPoolTaskScheduler:218 - Shutting down ExecutorService 'taskScheduler'
2022-02-11 10:18:34.470 [SpringContextShutdownHook] INFO  traceId[] com.alibaba.druid.pool.DruidDataSource:2043 - {dataSource-1} closing ...
2022-02-11 10:18:34.478 [SpringContextShutdownHook] INFO  traceId[] com.alibaba.druid.pool.DruidDataSource:2116 - {dataSource-1} closed
2022-02-11 10:18:34.478 [SpringContextShutdownHook] INFO  traceId[] c.example.demo.config.ThreadPoolExecutorMdcWrapper:218 - Shutting down ExecutorService 'threadPoolTaskExecutor'
2022-02-11 11:24:27.571 [XNIO-1 task-1] INFO  traceId[caed4593-8975-4d6b-a8d9-e9b3dce1514d] com.example.demo.controller.TopicManageController:33 - 提交题目信息：{"createBy":"0","errorNum":1,"img":"","optionItem":[{"correct":false,"option":"我国 M 出版社拟在我国翻译出版该作品，需要征得德里作者继承人的许可方可在我国出版发行","serialNumber":1},{"correct":true,"option":"我国 M 出版社拟在我国翻译出版该作品，不需要征得德国作者继承人的许可，就可在我国出版发行","serialNumber":2},{"correct":false,"option":"我国 M 出版社未征得德国作者继承人的许可，将该翻译作品销售到德国，不构成侵权","serialNumber":3},{"correct":false,"option":"我国 M 出版社未征得德国作者继承人的许可，将该翻译作品在我国销售，构成侵权","serialNumber":4}],"queSetId":2,"remark":"【2009 年题 53 解析】依据我国著作权法的规定，该德国作者的作品已经超过法定版权保护期，不再受到版权保护。因此，出版社不需要征得德国作者继承人的许可，即可在我国出版发行该德国作者的作品。如果将该翻译出版作品未征得德国作者继承人的许可销售到德国，已构成侵权。这是因为德国的《版权法》规定作品的版权保护期是作者有生之年和去世后 70 年，作者去世 60 年，作品的保护期尚未超过，所以我国出版社若将该翻译出版作品未征得德国作者继承人的许可销售到德国，则构成侵权。我国的《著作权法》对一般文字作品的保护期是作者有生之年和去世后 50 年，该作者已去世 60 年，超过了我国《著作权法》对一般文字作品的保护期，在我国也不再受著作权保护。所以我国 M 出版社不需要征得德国作者继承人的许可，即可在我国出版发行该德国作者的作品。","topicDesc":"【2009 年题 53】我国的《著作权法》对一般文字作品的保护期是作者有生之年和去世后 50 年，德国的《版权法》对一般文字作品的保护期是作者有生之年和去世后 70 年。假如某德国作者已去世 60 年，以下说法中正确的是( )","topicType":1,"updateB":"0"}
2022-02-11 11:24:27.631 [XNIO-1 task-1] INFO  traceId[caed4593-8975-4d6b-a8d9-e9b3dce1514d] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-02-11 11:25:55.261 [XNIO-1 task-1] INFO  traceId[dbb9ee36-876f-4bb2-9e00-ed74b794dc7b] com.example.demo.controller.TopicManageController:33 - 提交题目信息：{"createBy":"0","errorNum":1,"img":"","optionItem":[{"correct":false,"option":"为保护其软件著作权而采取的技术措施","serialNumber":1},{"correct":false,"option":"软件权利电子信息","serialNumber":2},{"correct":false,"option":"通过信息网络传播的软件","serialNumber":3},{"correct":true,"option":"采用反编译技术获得的软件","serialNumber":4}],"queSetId":2,"remark":"【2009 年题 54 解析】【答案】D。","topicDesc":"【2009 年题 54】( )不属于我国著作权法所保护的内容。","topicType":1,"updateB":"0"}
2022-02-11 11:25:55.288 [XNIO-1 task-1] INFO  traceId[dbb9ee36-876f-4bb2-9e00-ed74b794dc7b] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-02-11 11:28:06.020 [XNIO-1 task-1] INFO  traceId[067a6cbe-43bc-40d8-95fb-a712cdf6179e] com.example.demo.controller.TopicManageController:33 - 提交题目信息：{"createBy":"0","errorNum":1,"img":"","optionItem":[{"correct":false,"option":"向甲公司所在地人民法院提起著作权侵权诉讼","serialNumber":1},{"correct":false,"option":"请求商标评审委员会裁定撤销甲的注册商标","serialNumber":2},{"correct":true,"option":"首先提起诉讼，如对法院判决不服再请求商标评审委员会进行裁定","serialNumber":3},{"correct":false,"option":"与甲交涉，采取许可方式让甲继续使用该注册商标","serialNumber":4}],"queSetId":2,"remark":"本题看似是考著作权与商标权相关内容。但实际上是在考查一般争议处理的流程。对于任何争议基本上都是采取的，先找主管行政管理部门进行仲裁，仲裁不成功再进行诉讼，而 C 选项的说法，刚好弄反了。 【答案】C。","topicDesc":"【2011 年题 49】甲公司的某个注册商标是乙画家创作的绘画作品，甲申请该商标注册时未经乙的许可，乙认为其著作权受到侵害。在乙可采取的以下做法中，错误的是( )。","topicType":1,"updateB":"0"}
2022-02-11 11:28:06.046 [XNIO-1 task-1] INFO  traceId[067a6cbe-43bc-40d8-95fb-a712cdf6179e] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-02-11 11:32:57.722 [XNIO-1 task-1] INFO  traceId[a929dae3-c0a1-4b41-8ca9-9cbe6d87544a] com.example.demo.controller.TopicManageController:33 - 提交题目信息：{"createBy":"0","errorNum":1,"img":"","optionItem":[{"correct":false,"option":"持有者","serialNumber":1},{"correct":false,"option":"持有者和提供者均","serialNumber":2},{"correct":true,"option":"提供者","serialNumber":3},{"correct":false,"option":"持有者和提供者均不","serialNumber":4}],"queSetId":2,"remark":"【2017 年题 42 解析】【答案】C。","topicDesc":"【2017 年题 42】某人持有盗版软件，但不知道该软件是盗版的，该软件的提供者不能证明其提供的复制品有合法来源。此情况下，则该软件的( )应承担法律责任。","topicType":1,"updateB":"0"}
2022-02-11 11:32:57.748 [XNIO-1 task-1] INFO  traceId[a929dae3-c0a1-4b41-8ca9-9cbe6d87544a] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-02-11 11:35:55.640 [XNIO-1 task-1] INFO  traceId[9bcfd380-4988-4aa2-a1a5-3df9756edf7a] com.example.demo.controller.TopicManageController:33 - 提交题目信息：{"createBy":"0","errorNum":1,"img":"","optionItem":[{"correct":false,"option":"L 公司未经 M 公司许可在中国市场销售其产品不属于侵权行为","serialNumber":1},{"correct":false,"option":"L 公司在中国市场销售其产品需要取得 M 公司和 Y 经销商的许可","serialNumber":2},{"correct":true,"option":"L 公司在中国市场销售其产品需要向 M 公司支付注册商标许可使用费","serialNumber":3},{"correct":false,"option":"Y 经销商在其经销的手电筒高端产品上使用 iPad 商标属于侵权行为","serialNumber":4}],"queSetId":2,"remark":"【2012 年题 7 解析】B 选项：商标申请是分行业领域的。即 M 公司申请了国内平板电脑 ipad 的商标权，与 Y 公司申请国内手电筒 ipad 的商标权不冲突，不会相互侵权。所以当美国的 L 公司要把他的平板放在中国市场来卖时，与其冲突的，只有 M 公司，与 Y 无关。所以有 M 公司的许可就行了。不用管 Y 公司。 D 选项：依据我国商标法规定，不同类别商品(产品)是可以使用相同或类似商标的，那么手电筒使用 ipad 不算侵权。 【答案】C。","topicDesc":"【2012 年题 7】中国的 M 公司与美国的 L 公司分别在各自生产的平板电脑产品上使用iPad 商标，且分别享有各自国家批准的商标专用权。中国 Y 手电筒经销商，在其经销的手电筒高端产品上也使用 iPad 商标，并取得了注册商标。以下说法正确的是( )。","topicType":1,"updateB":"0"}
2022-02-11 11:35:55.666 [XNIO-1 task-1] INFO  traceId[9bcfd380-4988-4aa2-a1a5-3df9756edf7a] com.example.demo.Interceptor.LogInterceptor:45 - 调用结束后删除...
2022-02-11 16:10:29.628 [main] INFO  traceId[] com.example.demo.DemoApplication:55 - Starting DemoApplication on DESKTOP-6OUD5PV with PID 12428 (E:\workplace\idea\demo\target\classes started by Administrator in E:\workplace\idea\demo)
2022-02-11 16:10:29.630 [main] INFO  traceId[] com.example.demo.DemoApplication:651 - No active profile set, falling back to default profiles: default
2022-02-11 16:10:30.170 [main] INFO  traceId[] o.s.d.r.config.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-02-11 16:10:30.172 [main] INFO  traceId[] o.s.d.r.config.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-02-11 16:10:30.200 [main] INFO  traceId[] o.s.d.r.config.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
2022-02-11 16:10:30.374 [main] INFO  traceId[] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335 - Bean 'threadPoolConfig' of type [com.example.demo.config.ThreadPoolConfig$$EnhancerBySpringCGLIB$$98522a13] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-11 16:10:30.394 [main] INFO  traceId[] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335 - Bean 'org.springframework.retry.annotation.RetryConfiguration' of type [org.springframework.retry.annotation.RetryConfiguration$$EnhancerBySpringCGLIB$$646ec8d9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-02-11 16:10:30.638 [main] INFO  traceId[] io.undertow.servlet:364 - Initializing Spring embedded WebApplicationContext
2022-02-11 16:10:30.639 [main] INFO  traceId[] o.s.b.w.s.c.ServletWebServerApplicationContext:285 - Root WebApplicationContext: initialization completed in 973 ms
2022-02-11 16:10:30.751 [main] INFO  traceId[] c.example.demo.config.ThreadPoolExecutorMdcWrapper:181 - Initializing ExecutorService 'threadPoolTaskExecutor'
2022-02-11 16:10:30.829 [main] INFO  traceId[] c.a.d.s.b.a.DruidDataSourceAutoConfigure:56 - Init DruidDataSource
2022-02-11 16:10:31.824 [main] INFO  traceId[] com.alibaba.druid.pool.DruidDataSource:990 - {dataSource-1} inited
2022-02-11 16:10:33.860 [main] INFO  traceId[] o.s.scheduling.concurrent.ThreadPoolTaskScheduler:181 - Initializing ExecutorService 'taskScheduler'
2022-02-11 16:10:33.902 [main] INFO  traceId[] io.undertow:117 - starting server: Undertow - 2.1.3.Final
2022-02-11 16:10:33.910 [main] INFO  traceId[] org.xnio:95 - XNIO version 3.8.0.Final
2022-02-11 16:10:33.917 [main] INFO  traceId[] org.xnio.nio:59 - XNIO NIO Implementation Version 3.8.0.Final
2022-02-11 16:10:33.948 [main] INFO  traceId[] org.jboss.threads:52 - JBoss Threads version 3.1.0.Final
2022-02-11 16:10:33.988 [main] INFO  traceId[] o.s.boot.web.embedded.undertow.UndertowWebServer:133 - Undertow started on port(s) 9090 (http)
2022-02-11 16:10:33.997 [main] INFO  traceId[] com.example.demo.DemoApplication:61 - Started DemoApplication in 4.712 seconds (JVM running for 5.648)
2022-02-11 17:42:08.408 [XNIO-1 task-1] INFO  traceId[] io.undertow.servlet:364 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-02-11 17:42:08.412 [XNIO-1 task-1] INFO  traceId[] org.springframework.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2022-02-11 17:42:08.448 [XNIO-1 task-1] INFO  traceId[] org.springframework.web.servlet.DispatcherServlet:547 - Completed initialization in 35 ms
