2022-02-14 10:49:11.086 [XNIO-1 task-1] WARN  traceId[33d6fed5-1a09-4889-ab82-210ab7b572de] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 60814
2022-02-14 10:51:05.729 [XNIO-1 task-1] WARN  traceId[bbc3d137-f79f-4777-9e63-f0dad244283e] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 114620
2022-02-14 10:55:08.831 [XNIO-1 task-1] WARN  traceId[8ac76c47-dace-4d62-92b1-6535183dfc3c] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 243082
2022-02-14 10:57:25.236 [XNIO-1 task-1] WARN  traceId[9360b4ed-c2ba-4b0d-8f2c-c0049a940acb] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 136383
2022-02-14 11:01:14.670 [XNIO-1 task-1] WARN  traceId[8e8e8568-3957-484b-9f03-484f3c4a08f2] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 229413
2022-02-14 11:04:10.855 [XNIO-1 task-1] WARN  traceId[1da64978-fcc7-43ac-bddf-94ea5a550a1b] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 138966
2022-02-14 11:09:36.305 [XNIO-1 task-1] WARN  traceId[7d3a14a5-9930-4c36-b3f0-11ba5f37d546] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 325425
2022-02-14 11:11:36.479 [XNIO-1 task-1] WARN  traceId[da7ade09-6a59-4041-bd46-0c07e9db3c60] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 120147
2022-02-14 11:13:03.524 [XNIO-1 task-1] WARN  traceId[2b58b029-9dae-4446-99e2-19244bae034a] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 87021
2022-02-14 11:14:11.030 [XNIO-1 task-1] WARN  traceId[a5714d8c-6fad-4938-b4f5-9b32d1b65179] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 67485
2022-02-14 11:16:46.448 [XNIO-1 task-1] WARN  traceId[26f45e8e-4303-45d4-8f9a-11af7bf5e0ab] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 155397
2022-02-14 11:52:55.057 [XNIO-1 task-1] WARN  traceId[0c153462-37fc-4167-922a-547105412282] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 2168587
2022-02-14 11:54:33.621 [XNIO-1 task-1] WARN  traceId[e30e31d4-598b-478f-9fa6-53619f284ca5] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 98540
2022-02-14 11:56:21.162 [XNIO-1 task-1] WARN  traceId[4f8745a4-a1de-484a-b372-e2df57756586] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 107515
2022-02-14 11:57:49.733 [XNIO-1 task-1] WARN  traceId[7ae8f613-d373-41b9-bf8f-beccadeaaad1] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 88551
