2022-02-15 09:23:38.219 [main] WARN  traceId[] io.undertow.websockets.jsr:68 - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2022-02-15 09:30:25.863 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405897
2022-02-15 09:30:25.865 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405916
2022-02-15 09:30:25.867 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405931
2022-02-15 09:30:25.868 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405945
2022-02-15 09:30:25.869 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405958
2022-02-15 09:30:25.871 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405971
2022-02-15 09:30:25.872 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 405986
2022-02-15 09:30:25.873 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 406000
2022-02-15 09:30:25.887 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 406027
2022-02-15 09:30:25.888 [XNIO-1 task-1] WARN  traceId[da334445-4cc7-4c10-bdbe-d6d536257978] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 406046
2022-02-15 09:33:13.706 [XNIO-1 task-1] WARN  traceId[8132d698-d310-4689-a503-e3d86b12a8fb] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 131583
2022-02-15 09:36:22.973 [XNIO-1 task-1] WARN  traceId[30cb17e4-ce40-43ee-9847-0d2f406c6cfb] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 139625
2022-02-15 09:38:38.204 [XNIO-1 task-1] WARN  traceId[7dfc9a5a-db80-4c6c-9cb9-a4830f681c9c] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 135211
2022-02-15 09:41:42.960 [XNIO-1 task-1] WARN  traceId[85de4945-678c-4149-b138-cb857764f9b4] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 184735
2022-02-15 09:44:33.327 [XNIO-1 task-1] WARN  traceId[018dcab6-f9f2-4e96-ae9f-ef5182327d3e] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 170347
2022-02-15 09:46:53.156 [XNIO-1 task-1] WARN  traceId[411e1f50-6a86-408a-a0ed-1540885b1fd8] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 139810
2022-02-15 09:49:40.101 [XNIO-1 task-1] WARN  traceId[ac1b87a4-308a-4ff6-907e-9bf412e88fc5] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 166924
2022-02-15 09:53:17.966 [XNIO-1 task-1] WARN  traceId[85cd2010-63f2-4dad-bdc5-4edfd6665d5a] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 182606
2022-02-15 09:55:51.268 [XNIO-1 task-1] WARN  traceId[5c484588-21ec-4ae1-8165-3f69e0c36fdb] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 153284
2022-02-15 09:58:28.107 [XNIO-1 task-1] WARN  traceId[e9869bff-0014-46f5-8cff-58417f7a7d55] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 156809
2022-02-15 10:01:05.662 [XNIO-1 task-1] WARN  traceId[1cd18452-bdb0-4749-8314-fe92e289f9fc] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 157537
2022-02-15 10:03:38.856 [XNIO-1 task-1] WARN  traceId[a3741840-ca09-491d-94cc-0c64efb9be30] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 153175
2022-02-15 10:04:43.340 [XNIO-1 task-1] WARN  traceId[a7b71270-cfdb-4b1a-ba48-02362d46d2b6] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 64464
2022-02-15 10:11:22.667 [XNIO-1 task-1] WARN  traceId[98d6b8dc-f6b0-4f62-be1a-00013902ffee] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 399309
2022-02-15 10:17:04.383 [XNIO-1 task-1] WARN  traceId[c7b32a27-cc71-41c3-a466-1bec3633dbc2] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 321993
2022-02-15 10:20:42.535 [XNIO-1 task-1] WARN  traceId[1b3fc814-c77d-420f-a355-54b259e62292] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 159552
2022-02-15 10:22:43.267 [XNIO-1 task-1] WARN  traceId[35f5f3ac-20ee-4e14-8e73-9b150a9e859f] com.alibaba.druid.pool.DruidAbstractDataSource:1494 - discard long time none received connection. , jdbcUrl : jdbc:mysql://localhost:3306/test9527?useUnicode=true&characterEncoding=UTF-8&serverTimezone=Asia/Shanghai, version : 1.2.5, lastPacketReceivedIdleMillis : 120715
